TimeCreated,Id,AccountName,LogonType,SourceIP,Label
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:02,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:05,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:05,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:05,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:12,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:12,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:22,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-11 23:08:22,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-11 23:08:22,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:08:29,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:09:29,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:09:41,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:09:52,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:10:03,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:10:06,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:10:06,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:10:06,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:11:03,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:12:55,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:13:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:14:21,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:22:54,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:22:54,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:22:55,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:34:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:38:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:43:37,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-11 23:43:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:08,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 00:21:09,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 00:21:09,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 00:21:09,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:09,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:13,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:13,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:13,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:13,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 00:21:16,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:47,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 08:05:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:47,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 08:05:48,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:49,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:05:54,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:07:33,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:08:05,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 08:08:05,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 08:08:05,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:08:16,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:08:21,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:10:48,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:11:46,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:11:46,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:11:49,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:11:49,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:12:13,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:13:24,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:15:06,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:20:48,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:20:49,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:20:49,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:27:07,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:27:30,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:42:59,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 08:59:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 09:10:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 09:10:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 09:10:11,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 09:10:11,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 09:10:11,4624,BACHTRANPC$,2,Unknown,Normal
2026-06-12 09:10:21,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:36:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,2,127.0.0.1,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:15,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:37:37,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:38:39,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:38:52,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:42:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:48:46,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:50:00,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:52:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:52:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:52:11,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 10:52:12,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:04:35,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:09:43,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:10:01,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:20:30,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:21:36,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:27:04,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:33:27,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 11:33:34,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 12:12:03,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 13:05:15,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 13:15:45,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 13:39:56,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 13:51:00,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 13:51:00,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 14:33:39,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 14:52:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 15:13:39,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 15:35:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 15:56:14,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 15:56:16,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 16:29:33,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 16:52:28,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 16:59:55,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 17:08:19,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 17:16:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 18:06:33,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 18:25:47,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 19:46:42,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:05:55,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:23:30,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:23:30,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:23:40,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:23:46,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:23:54,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 20:47:31,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:06:33,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:06:33,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:06:34,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:06:34,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:06:38,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:16:39,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 21:20:51,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 22:18:10,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 22:24:08,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 22:52:14,4624,BACHTRANPC$,5,Unknown,Normal
2026-06-12 22:52:14,4624,BACHTRANPC$,5,Unknown,Normal
